id,text,irony,sarcasm,topic,cleaned_text,lemmatized_text
8.111568131818414e+17,"Zurigo, trovato morto il presunto autore della sparatoria nel centro islamico #20dicembre https://t.co/rBjvUi8RJ2",0.0,0.0,HSC,zurigo trovato morto presunto autore sparatoria centro islamico # @number dicembre @url,zurigo trovare morire presunto autore sparatoria centro islamico # @number dicembre @url 
8.111830873505956e+17,"Zurigo, trovato morto il presunto autore della sparatoria nel centro islamico - https://t.co/XMrEqPnV6w tramite https://t.co/zAAl3RtO5F",0.0,0.0,HSC,zurigo trovato morto presunto autore sparatoria centro islamico @url tramite @url,zurigo trovare morire presunto autore sparatoria centro islamico @url tramite @url 
8.263806323768812e+17,"Zingari..i soliti ""MERDOSI""..#cacciamolivia Roma, i rom aggrediscono un 81enne per rapinarlo. Bloccati dai cittadini https://t.co/j6LYylIkhe",0.0,0.0,HSC,zingari soliti merdosi #cacciamolivia roma rom aggrediscono @number enne rapinarlo bloccati cittadini @url,zingaro solito merdoso #cacciamolivia roma rom aggredire @number enne rapinare bloccare cittadino @url 
8.448711713508024e+17,"Zingari di merda,tutti al muro...bastardi Sparano ai carabinieri dopo la rapina: presi nel campo nomadi di Giugliano https://t.co/efYYDutXvs",0.0,0.0,HSC,zingari merda muro bastardi sparano carabinieri dopo rapina presi campo nomadi giugliano @url,zingaro merda muro bastardo sparare carabiniere dopo rapina preso campo nomade giugliano @url 
5.097128243615703e+17,zero notizie decreto #tfaordinario II ciclo zero notizie prove scritte. Alla faccia de #labuonascuola.#matteorenzi cosa stai aspettando?,1.0,0.0,TW-BS,zero notizie decreto #tfaordinario ii ciclo zero notizie prove scritte de #labuonascuola #matteorenzi cosa aspettando,zero notizia decreto #tfaordinario ii ciclo zero notizia prova scritto de #labuonascuola #matteorenzi cosa aspettare 
8.257194609714502e+17,"Yemen, primo raid ordinato da Trump: uccisi 14 terroristi, ma c’è anche un morto fra i soldati Usa … https://t.co/A8ssHTbUt5",0.0,0.0,HSC,yemen primo raid ordinato trump uccisi @number terroristi morto fra soldati usa @url,yemen primo raid ordinare trump uccidere @number terrorista morto fra soldato usare @url 
8.140374697044417e+17,"Yao,i 3 rom si accusano a vicenda:Delusi dal bottino https://t.co/bLibkhlnX5 @FabrizioSantori NO PROBLEM IN GALERA TUTTI E 3 FINE PENA MAI!!",0.0,0.0,HSC,yao @number rom accusano vicenda delusi bottino @url @fabriziosantori no problem galera @number fine pena mai,yao @number rom accusare vicenda deluso bottino @url @fabriziosantori no problem galera @number fine pena mai 
8.344928298545316e+17,YAHOO!!Scoperti 7 nuovi pianeti simili alla terra!!forse abbiamo trovato la soluzione per il ricollocamento dei migranti!!,1.0,1.0,HSC,yahoo scoperti @number nuovi pianeti simili terra forse trovato soluzione ricollocamento migranti,yahoo scoprire @number nuovo pianeta simile terra forse trovare soluzione ricollocamento migrare 
8.44312049173848e+17,x: non si entra nell'angolo rotture della Lidl rom: AAAAAAAAAAAAAAAAAAAAAH https://t.co/lQczymCw8x,1.0,0.0,HSC,x entra angolo rotture lidl rom aaaaaaaaaaaaaaaaaaaaah @url,x entrare angolo rottura lidl rom aaaaaaaaaaaaaaaaaaaaah @url 
5.1165875142710886e+17,"x il ministro Giannini questo è l'anno della buona scuola,che è cambiato?ci ha messo lo zucchero?nn si possono più sentire tante str...",1.0,0.0,TW-BS,x ministro giannini anno buona scuola cambiato messo zucchero nn possono sentire tante str,x ministro giannini anno buono scuola cambiare mettere zucchero non potere sentire tanto str 
5.074068649809018e+17,"WOW!!! Tra tre anni, FORSE, ci danno 60 euro!!! Forza che da qui a un secolo raggiungiamo gli stipendi dei colleghi europei! #labuonascuola",1.0,0.0,TW-BS,wow tre anni forse danno @number euro forza qui secolo raggiungiamo stipendi colleghi europei #labuonascuola,wow tre anno forse dare @number euro forza qui secolo raggiungere stipendio collegare europeo #labuonascuola 
5.1875543450556826e+17,"Wifi assente, nuovi modi di fare scuola, (im)preparazione del corpo docente. #labuonascuola http://t.co/EyjscFQi7J @startup_italia #ischool",0.0,0.0,TW-BS,wifi assente nuovi modi fare scuola im preparazione corpo docente #labuonascuola @url @startup italia #ischool,wifi assente nuovo modo fare scuola im preparazione corpo docente #labuonascuola @url @startup italia #ischool 
5.152822343715021e+17,"Web-design tutto bello e colorato, ma #labuonascuola mi fa scegliere tra ciò che non amo e ciò che amo ancor meno. Quindi non lo compilerò.",1.0,0.0,TW-BS,web design bello colorato #labuonascuola fa scegliere ciò amo ciò amo ancor meno quindi compilerò,web design bello colorato #labuonascuola fare scegliere ciò amare ciò amare ancora meno quindi compilare 
8.492187221831721e+17,"W la scuola, w la cultura, w il razzismo, w i deliri e l'islamofobia per studenti e cittadini!   https://t.co/sQEVHBaiEO  #belpaese",1.0,0.0,HSC,w scuola w cultura w razzismo w deliri islamofobia studenti cittadini @url #belpaese,w scuola w cultura w razzismo w delirio islamofobia studente cittadino @url #belpaese 
1.517097753804964e+17,vuoi lavorare come social innovator per il governo monti? invia il curriculum al ministro profumo http://t.co/eQ93fgp3 #avvisopubblico,0.0,0.0,TW-SENTIPOLC,vuoi lavorare social innovator governo monti invia curriculum ministro profumo @url #avvisopubblico,volere lavorare social innovator governo monte inviare curriculum ministro profumare @url #avvisopubblico 
8.475446742356255e+17,VoxNews: Assessore PD fonda ONG che aiuta profughi a fare ricorso a spese nostre: Da una ricerca condotta dall… https://t.co/air5i2u5Er,0.0,0.0,HSC,voxnews assessore pd fonda ong aiuta profughi fare ricorso spese ricerca condotta @url,voxnews assessore pd fonda ong aiutare profugo fare ricorrere spesa ricerca condurre @url 
5.321568189616005e+17,Votate sì! La Buona Scuola - INSERIMENTO IN RUOLO DOCENTI SFP VECCHIO ORDINAMENTO https://t.co/CzLVgTNWfe #labuonascuola,0.0,0.0,TW-BS,votate sì buona scuola inserimento ruolo docenti sfp vecchio ordinamento @url #labuonascuola,votare sì buono scuola inserimento ruolo docente sfp vecchio ordinamento @url #labuonascuola 
8.269445151142257e+17,Vorrei un campo rom vicino la casa di tutti quei buonisti e moralisti che predicano così bene!,1.0,1.0,HSC,vorrei campo rom vicino casa quei buonisti moralisti predicano così bene,volere campo rom vicino casa quello buonista moralista predicare così bene 
